Contrast:,Hillsboro_Fort,Lauderdale,,,,,,,
787a3df59922afc90301151ea01b7c7b,0.0032724,0.005465,0.5988,0.005,0.003,0.78339,0.172,,
8bb0004290ea6e9ce352f55350a9c5a7,0.0032362,0.01553,0.2084,0.006,0.000,0.7871,0.418,,
7685cb95fa77d91b70afb46485ac20a6,0.0031106,0.005506,0.5649,0.005,0.002,0.79068,0.198,,
a41d252e01ef0557ecb28e486eadb2a2,0.0030575,0.007536,0.4057,0.006,0.001,0.79419,0.041,,
91d688c973fa105eac82ae34536569bc,0.0030321,0.006058,0.5005,0.002,0.006,0.79767,0.854,,
942d4f79ab6da48e55cc43660fbe0888,0.002855,0.015097,0.1891,0.000,0.006,0.80095,0.954,,
6bd60643c27bb01d3c586791409c405a,0.0028087,0.009451,0.2972,0.001,0.005,0.80418,0.796,,
fa73781222ed3d0cecfdd7d5a9c64c50,0.0027517,0.006598,0.4171,0.002,0.004,0.80734,0.686,,
b0475c2d42ad84a03f80d70d9abfc717,0.0027432,0.008391,0.3269,0.004,0.002,0.81049,0.382,,
6dafbe26918731e3bc8c294838099e98,0.002414,0.011334,0.213,0.000,0.005,0.81327,0.785,,
06df666ee210020e2bb0dd5c0d82a206,0.0024043,0.008728,0.2755,0.005,0.000,0.81603,0.011,,
02c9292683676d5a105454964336f5c5,0.0023972,0.006904,0.3472,0.004,0.001,0.81878,0.18,,
e6ef23848e7b8ab80ce4ec4280b50428,0.0023753,0.005399,0.44,0.004,0.002,0.82151,0.18,,
2aa85055ca53e68be32996467ff0414a,0.0022593,0.010622,0.2127,0.005,0.000,0.82411,0.185,,
f29fd025ded5591fa45443c97a8c710a,0.0022494,0.004437,0.507,0.002,0.003,0.82669,0.629,,
1b926b7a41ac4a734571c261084ad062,0.0022364,0.006583,0.3397,0.003,0.002,0.82926,0.377,,
8ec8cbd46a94f3eecd4ffed86c0ac8b3,0.0021976,0.006122,0.359,0.004,0.001,0.83178,0.195,,
d1099e14450efe720a6b5844b64c63b6,0.0021883,0.004895,0.4471,0.002,0.003,0.8343,0.391,,
3aa25ee0ccf1764e818182eef9340b71,0.0021748,0.009255,0.235,0.001,0.003,0.8368,0.629,,
305fad7794af19b61bd043d53cde28ec,0.00217,0.00338,0.6421,0.001,0.004,0.83929,0.441,,
d1bf9c378fd51fc97553c2ef96454fa0,0.0020862,0.003607,0.5784,0.001,0.003,0.84169,0.649,,
d24ee54b00141716673192d175ce8468,0.0020379,0.004941,0.4125,0.004,0.000,0.84403,0.023,,
9d744d4678cee65f0bbea832ee72a847,0.0020273,0.009729,0.2084,0.004,0.000,0.84636,0.425,,
c94a7d7e3f2dce0b4d4c4f6f849eb878,0.0019931,0.003084,0.6462,0.002,0.002,0.84865,0.524,,
a3e4812b21dfb4d85852ff5dc5984d90,0.0019061,0.003498,0.5449,0.002,0.003,0.85084,0.675,,
ac6639741476abec934aac289e8e7564,0.00189,0.003808,0.4964,0.002,0.002,0.85301,0.439,,
066b695f2c9a7791eeb17079978e1129,0.0018751,0.007939,0.2362,0.000,0.004,0.85516,0.841,,
7f4a6c0157bab8ed866a416170c32aea,0.0018359,0.010369,0.1771,0.000,0.004,0.85727,1,,
5a5cd60c401650043551c33f344c8522,0.001817,0.00194,0.9366,0.003,0.003,0.85936,0.71,,
2db9c9272d03c08353ad07d1789f8901,0.0018098,0.005679,0.3187,0.002,0.002,0.86144,0.448,,
7989777e7b4a4a1a5e64e05489f0da27,0.0017761,0.003449,0.515,0.003,0.001,0.86348,0.228,,
01dcc5a0537b0887e3610980878207a4,0.001774,0.004214,0.421,0.002,0.002,0.86552,0.431,,
89e6981e4b0468d2581157ab59de130e,0.0017586,0.008456,0.208,0.000,0.004,0.86754,1,,
d5169cd9970ac6c61bbfdd57fe9c89f1,0.0016757,0.008104,0.2068,0.000,0.003,0.86946,1,,
f9b061101095df90f921f6cf337b34b6,0.0016042,0.007647,0.2098,0.000,0.003,0.8713,1,,
71cd8596df4c7dd9ad798c07c7800f87,0.0015778,0.003899,0.4047,0.002,0.002,0.87312,0.464,,
f20e7aef6c8f361d01055cd28c4b947e,0.0015549,0.007256,0.2143,0.003,0.000,0.8749,0.196,,
dc8a27d3628bd0f7ea10d0f820db0d87,0.0015542,0.002615,0.5942,0.001,0.003,0.87669,0.713,,
98bef8abbe840e2d979b75ea7633b0e8,0.0015152,0.002677,0.5661,0.002,0.001,0.87843,0.082,,
e14d3ef27526af3bd88f42d83f3bdd6b,0.0014639,0.003694,0.3963,0.001,0.002,0.88011,0.847,,
897dd8ea412c989952efe128d28ae545,0.0013715,0.003865,0.3549,0.001,0.001,0.88169,0.498,,
9692070a8435f3da9d103743c63ce52d,0.0013411,0.007591,0.1767,0.000,0.003,0.88323,1,,
24abd7240af447afa0b54d7160d911b5,0.0013152,0.004586,0.2868,0.003,0.000,0.88474,0.082,,
3df21f1a76bbc0b6441d81b9c20d5436,0.0013089,0.002233,0.5861,0.002,0.001,0.88624,0.443,,
35ba0ce07309312135a5e61c896e5c8a,0.0012285,0.001981,0.6202,0.001,0.002,0.88765,0.562,,
c7637722f3cdc682ed9f613e67e886fa,0.0012123,0.006712,0.1806,0.000,0.002,0.88905,1,,
b7bbd7b29146ecc671451040248ca3d3,0.0012077,0.003645,0.3313,0.001,0.002,0.89043,0.429,,
c72b061874d0c49c72ef59e422d3e8ae,0.0012026,0.003533,0.3404,0.002,0.000,0.89182,0.188,,
94a4cfe2e93c0e96a8c4a484650b6dfd,0.0011955,0.002596,0.4604,0.001,0.002,0.89319,0.799,,
487a17641df6be05e49d9e1ec726d2b5,0.0011857,0.003962,0.2993,0.000,0.002,0.89455,0.875,,
b1cff4530233b484b21ca6db52c5d257,0.0011757,0.002017,0.5829,0.002,0.000,0.8959,0.012,,
61e3a05af55019d8d29ea8ddbfee780d,0.0011711,0.001954,0.5993,0.002,0.001,0.89725,0.13,,
a7a147ba43fb5888f6b2452b85ca8569,0.001147,0.001216,0.9432,0.002,0.001,0.89856,0.382,,
20e9727d584ae9365eb8336c8e8475e2,0.0011427,0.004636,0.2465,0.000,0.002,0.89988,1,,
6cc87325b7815ff69cb113006fa5dfd5,0.001139,0.002541,0.4483,0.000,0.002,0.90119,0.935,,
d84619712b26f7e0c06943ebbebefc3c,0.0011173,0.003154,0.3543,0.002,0.000,0.90247,0.003,,
433ffe3e8472a48735636d27a91aa287,0.0010949,0.003415,0.3206,0.001,0.002,0.90373,0.673,,
e314931f1c7cad13aec2759b85ee4273,0.001064,0.003855,0.276,0.002,0.000,0.90495,0.029,,
d1f0127aea231d51e8b758009c917a61,0.0010421,0.003158,0.33,0.000,0.002,0.90615,0.677,,
c7f1fab952f2d359d3dbc6dd35bf3da2,0.0010347,0.00584,0.1772,0.000,0.002,0.90734,1,,
72fe0ee9b7d7514b96a0c6354c477740,0.0010093,0.001777,0.5681,0.001,0.002,0.9085,0.789,,
e5837770ce17fb8c618b6009803d1be2,0.0009944,0.005629,0.1767,0.000,0.002,0.90964,1,,
e965315323c00eac43896c84313b6d2b,0.0009815,0.005556,0.1767,0.000,0.002,0.91077,1,,
395cf5f8cfe9f18126ca772f04bd9b66,0.0009732,0.003998,0.2434,0.000,0.002,0.91188,1,,
157ba9aff1f6b841c41f6f5453d3d8a3,0.0009565,0.002512,0.3808,0.000,0.002,0.91298,0.781,,
015273a5f891c445c03729d5524fd3a1,0.0009544,0.003873,0.2464,0.002,0.000,0.91408,0.144,,
6ed2cbded69eb8ff12800f4d189b88c1,0.0009321,0.002635,0.3538,0.000,0.002,0.91515,0.687,,
5392c3fca1fb9f48913cc25f30ee1e3e,0.0009281,0.005198,0.1786,0.000,0.002,0.91622,0.509,,
334e1b08a0d169bc507c922d0ae22e75,0.0009153,0.001529,0.5985,0.001,0.002,0.91727,0.716,,
4fdfa62fd97e871b7cc284a180983816,0.0009047,0.00364,0.2486,0.000,0.002,0.91831,0.834,,
91f0a8a7e6f267a2b836ed8251275ebf,0.0008871,0.004982,0.1781,0.000,0.002,0.91933,1,,
